%% LaTeX2e file `CASTempTest.data'
%% generated by the `filecontents' environment
%% from source `Tesis' on 2013/10/23.
%%
vtemp vcastemp
278.00e-00 1.122e+00
286.00e-00 1.157e+00
290.00e-00 1.174e+00
291.60e+00 1.179e+00
300.00e-00 1.217e+00
320.00e-00 1.296e+00
